B2	,C1	    ,C2	    ,C3	    ,C4	    ,C5	    ,C6	    ,C7	    ,C8	    ,C9
C1	,1.000 	,1.600 	,3.700 	,1.700 	,3.800 	,4.200 	,2.200 	,5.800 	,5.200 
C2	,0.800 	,1.000 	,3.100 	,1.300 	,3.200 	,4.000 	,1.800 	,5.400 	,5.600 
C3	,0.587 	,0.607 	,1.000 	,0.500 	,1.400 	,1.600 	,1.500 	,3.000 	,2.800 
C4	,0.800 	,1.000 	,2.400 	,1.000 	,2.200 	,2.400 	,2.000 	,4.600 	,4.400 
C5	,0.387 	,0.407 	,0.867 	,0.467 	,1.000 	,1.400 	,1.467 	,3.000 	,2.800 
C6	,0.253 	,0.247 	,0.850 	,0.450 	,0.867 	,1.000 	,0.667 	,2.400 	,1.800 
C7	,0.467 	,0.667 	,2.233 	,0.833 	,2.433 	,2.500 	,1.000 	,5.200 	,5.000 
C8	,0.219 	,0.220 	,0.433 	,0.229 	,0.429 	,0.450 	,0.233 	,1.000 	,0.900 
C9	,0.207 	,0.187 	,0.433 	,0.233 	,0.433 	,0.600 	,0.333 	,1.200 	,1.000 
